,ASSESSED_LAND_VALUE,ASSESSED_TOTAL_VALUE,ASSESSED_IMP_VALUE,ZIP,BATH,BED,AGE,STORIES,GARAGE_TYPE,PARKING,TOTAL_UNITS,LAND_USE,POOL,FIREPLACE,PROPERTY_TYPE,BUILDING_AREA,LOT_SIZE,FIDELITY_LATITUDE,FIDELITY_LONGITUDE
65,131500.0,430500.0,562000.0,95050,1.0,3,56.0,1,G,2,0,1001,,,,1035,5663.0,37.332730999999995,-121.954894
66,17326.0,44743.0,62069.0,94538,2.0,4,47.0,1,G,0,0,1001,,,,1558,5700.0,37.518656,-121.969354
67,1435278.0,783882.0,2219160.0,94904,0.0,0,,,,0,0,1001,,,,0,16400.0,37.953713,-122.560645
68,689780.0,366114.0,1055894.0,94586,2.0,2,81.0,2,C,2,0,1008,,,,2016,11550.0,37.627506,-121.912653
69,300000.0,535000.0,835000.0,95037,0.0,0,46.0,2,V,4,4,1110,,,,2764,6970.0,37.128336999999995,-121.66011499999999
70,100000.0,78000.0,178000.0,94558,2.5,2,18.0,,Y,1,0,1004,P,1,,1030,436.0,38.278481,-122.303485
71,77913.0,181817.0,259730.0,95123,2.5,4,39.0,2,G,2,0,1001,,,,2124,6098.0,37.238358,-121.852753
72,143300.0,266300.0,409600.0,95020,2.5,3,11.0,2,G,2,0,1001,,,SFR,1908,6098.0,37.026581,-121.584338
73,119400.0,278600.0,398000.0,94538,2.0,3,49.0,1,G,0,0,1001,,,,1314,6400.0,37.514697,-121.948713
74,223009.0,520241.0,743250.0,94550,3.0,4,9.0,1.5,G,3,0,1001,,,,2890,10850.0,37.652167999999996,-121.784335
75,46327.0,108096.0,154423.0,94609,2.5,3,89.0,2,,0,2,1101,,,,2017,3850.0,37.841389,-122.263725
76,160883.0,241329.0,402212.0,94043,1.0,3,55.0,1,G,1,0,1001,,,,816,4792.0,37.404191999999995,-122.066734
77,19773.0,95227.0,115000.0,94801,2.5,3,29.0,,Y,2,0,1004,,,,1496,2080.0,37.938612,-122.357669
78,108134.0,252313.0,360447.0,94536,2.0,3,30.0,,,0,0,1001,,,,1668,6388.0,37.57821,-122.011355
79,131819.0,307594.0,439413.0,95037,2.5,4,19.0,2,G,2,0,1001,,,,2517,7841.0,37.140502999999995,-121.667291
80,226000.0,464500.0,690500.0,95404,3.0,4,10.0,2,,0,1,1001,,2,,2848,8712.0,38.485048,-122.68870799999999
81,12541.0,44498.0,57039.0,95688,3.0,4,54.0,1,,0,0,1001,,Y,,1622,6098.0,38.355252,-121.995443
82,177800.0,177800.0,355600.0,95123,2.0,2,24.0,1,C,1,0,1004,,,CND,995,436.0,37.243625,-121.864994
83,26319.0,66377.0,92696.0,94551,0.0,0,36.0,,,0,0,1001,P,,,1582,8419.0,37.692707,-121.769016
84,838884.0,265194.0,1104078.0,94303,0.0,0,60.0,2,M,4,2,1101,,Y,,2363,8276.0,37.42047,-122.108666
85,133055.0,242337.0,375392.0,94558,1.0,2,53.0,,Y,2,0,1001,,Y,,1156,11326.0,38.307506,-122.307879
86,109650.0,58047.0,167697.0,94803,3.0,4,67.0,,Y,1,0,1101,,,,1576,9100.0,37.98394,-122.29975
87,123992.0,192781.0,316773.0,95127,1.0,2,61.0,1,G,2,0,1001,,,,1164,9583.0,37.389997,-121.825506
88,139500.0,325500.0,465000.0,94550,2.0,3,41.0,1,G,0,0,1001,P,,,1624,7000.0,37.666635,-121.775708
89,32310.0,45776.0,78086.0,94590,1.0,1,94.0,1,,0,0,1001,,,,1200,3485.0,38.106117,-122.246422
90,333345.0,85590.0,418935.0,94087,2.5,3,50.0,1,G,2,0,1001,P,,,1545,6970.0,37.336546999999996,-122.016716
91,48701.0,113651.0,162352.0,94040,2.0,2,40.0,1,C,2,0,1004,P,,,1140,1307.0,37.371975,-122.059844
92,17415.0,66564.0,83979.0,94587,2.0,4,39.0,1.5,G,0,0,1001,,,,2142,7245.0,37.592461,-122.062033
93,79500.0,185500.0,265000.0,94605,1.5,3,85.0,1,G,0,0,1001,,,,1580,4370.0,37.75373,-122.157681
94,108600.0,253400.0,362000.0,94580,2.0,3,53.0,1,G,0,0,1001,,,SFR,1465,5130.0,37.674603999999995,-122.14722499999999
95,120834.0,204069.0,324903.0,94539,3.0,4,22.0,1.5,G,0,0,1001,,,,2175,5900.0,37.515314,-121.923473
96,251576.0,303621.0,555197.0,94022,2.5,2,6.0,2,G,1,0,1004,,,,926,1742.0,37.373016,-122.11085
97,111592.0,117790.0,229382.0,95131,2.0,2,20.0,2,G,1,0,1004,,,,1178,871.0,37.403807,-121.883118
98,167577.0,249183.0,416760.0,95008,2.0,4,47.0,1,G,2,0,1001,,,,1486,5663.0,37.281718999999995,-121.966246
99,304348.0,760875.0,1065223.0,95138,5.5,4,10.0,2,G,3,0,1001,,,,4500,15246.0,37.288658999999996,-121.786298
100,602827.0,31741.0,634568.0,95014,2.0,3,57.0,1,C,1,0,1001,,,,1333,4792.0,37.319006,-122.000981
101,76394.0,128818.0,205212.0,94546,3.0,3,39.0,1,G,0,0,1001,,,,2524,10285.0,37.706799,-122.102532
102,10459.0,54801.0,65260.0,95401,2.0,3,46.0,1,,0,1,1001,,,,1560,5663.0,38.439285,-122.729001
103,179000.0,461000.0,640000.0,94534,2.0,3,35.0,1,G,2,0,1001,,Y,,2142,1.03,38.254441,-122.171793
104,83544.0,62060.0,145604.0,94804,1.0,2,58.0,,Y,1,0,1001,,,,905,3800.0,37.949239,-122.332762
105,13322.0,61946.0,75268.0,94558,1.0,3,48.0,,Y,2,0,1001,,Y,,1031,6098.0,38.317640999999995,-122.321037
106,138432.0,262299.0,400731.0,94517,3.0,5,32.0,,Y,2,0,1009,,,,2691,10120.0,37.922019,-121.928972
107,235431.0,299745.0,535176.0,95070,1.5,5,54.0,1,G,2,0,1001,,,,1802,9583.0,37.294439,-122.004993
108,22766.0,33132.0,55898.0,95116,0.0,0,59.0,1,O,2,2,1110,,,,1638,10454.0,37.346658,-121.859193
109,17229.0,0.0,17229.0,95030,0.0,0,,,,0,0,8001,,,,0,5663.0,37.161697,-121.977861
110,75600.0,176400.0,252000.0,94605,1.0,3,63.0,1,G,0,0,1001,,,,1302,6900.0,37.750681,-122.15713099999999
111,344449.0,168141.0,512590.0,95127,1.0,3,53.0,1,G,1,0,1001,,,,900,5227.0,37.35527,-121.812797
112,40906.0,94094.0,135000.0,94561,2.0,3,27.0,,Y,2,0,1001,,,,1167,6420.0,37.998808,-121.726208
113,222000.0,518000.0,740000.0,94566,2.5,4,34.0,2,G,0,0,1001,,,,2047,8863.0,37.675112999999996,-121.877483
114,36000.0,174000.0,210000.0,94589,2.5,4,20.0,2,G,2,0,1001,,Y,,1978,13504.0,38.144394,-122.243764
115,167619.0,169881.0,337500.0,94526,1.5,2,35.0,,,0,0,1004,,,,1094,560.0,37.809889999999996,-121.993794
116,85720.0,132642.0,218362.0,94577,1.0,2,83.0,1,,0,0,1001,,,,1082,2200.0,37.73619,-122.160376
117,69591.0,211868.0,281459.0,94510,3.0,4,26.0,2,G,2,0,1001,,Y,,2556,14810.0,38.057071,-122.154521
118,83771.0,200124.0,283895.0,94965,2.5,3,63.0,,Y,2,1,1001,,,,2704,23184.0,37.855342,-122.49037200000001
119,57608.0,134935.0,192543.0,95448,2.0,4,47.0,1,,0,2,1101,,,,0,7125.0,38.619509,-122.865728
